UBIGEO,POB_TOTAL,POB_URBANA,POB_RURAL,GPC_DOM,QRESIDUOS_DOM,QRESIDUOS_NO_DOM,QRESIDUOS_MUN,PERIODO
40119,2179,670,1509,0.43,104.73,44.88,149.61,2015
40120,1264,80,1184,0.47,13.63,5.84,19.47,2015
40121,5592,5037,555,0.47,856.8,367.2,1224,2015
40122,78135,77605,530,0.41,11629.78,4984.19,16613.97,2015
40123,14768,14123,645,0.46,2371.26,1016.25,3387.51,2015
40124,12436,10897,1539,0.47,1869.32,801.14,2670.46,2015
40125,2345,1243,1102,0.47,211.35,90.58,301.93,2015
40126,25483,25483,0,0.58,5394.75,2312.04,7706.79,2015
40127,1125,723,402,0.43,112.94,48.4,161.35,2015
40128,25367,23405,1962,0.52,4442.29,1903.84,6346.12,2015
40129,76711,76711,0,0.51,14279.75,6119.89,20399.65,2015
40201,14477,14363,114,0.58,3024.96,1296.41,4321.38,2015
40202,4134,3810,324,0.54,750.93,321.83,1072.76,2015
40203,6890,989,5901,0.47,168.22,72.09,240.32,2015
40204,6376,5491,885,0.54,1082.34,463.86,1546.2,2015
